"","Date_reported","Country","New_cases"
"31742","25/06/2020","Germany","630"
"31743","26/06/2020","Germany","477"
"31744","27/06/2020","Germany","687"
"31745","28/06/2020","Germany","256"
"31746","29/06/2020","Germany","262"
"31747","30/06/2020","Germany","498"
"31748","01/07/2020","Germany","466"
"31749","02/07/2020","Germany","503"
"31750","03/07/2020","Germany","446"
"31751","04/07/2020","Germany","422"
"31752","05/07/2020","Germany","239"
"31753","06/07/2020","Germany","219"
"31754","07/07/2020","Germany","390"
"31755","08/07/2020","Germany","397"
"31756","09/07/2020","Germany","442"
"31757","10/07/2020","Germany","395"
"31758","11/07/2020","Germany","378"
"31759","12/07/2020","Germany","248"
"31760","13/07/2020","Germany","159"
"31761","14/07/2020","Germany","412"
"31762","15/07/2020","Germany","351"
"31763","16/07/2020","Germany","534"
"31764","17/07/2020","Germany","583"
"31765","18/07/2020","Germany","529"
"31766","19/07/2020","Germany","202"
"31767","20/07/2020","Germany","249"
"31768","21/07/2020","Germany","522"
"31769","22/07/2020","Germany","454"
"31770","23/07/2020","Germany","569"
"31771","24/07/2020","Germany","815"
"31772","25/07/2020","Germany","781"
"31773","26/07/2020","Germany","305"
"31774","27/07/2020","Germany","340"
"31775","28/07/2020","Germany","633"
"31776","29/07/2020","Germany","684"
"31777","30/07/2020","Germany","902"
"31778","31/07/2020","Germany","870"
"31779","01/08/2020","Germany","955"
"31780","02/08/2020","Germany","240"
"31781","03/08/2020","Germany","509"
"31782","04/08/2020","Germany","879"
"31783","05/08/2020","Germany","741"
"31784","06/08/2020","Germany","1045"
"31785","07/08/2020","Germany","1147"
"31786","08/08/2020","Germany","1122"
"31787","09/08/2020","Germany","555"
"31788","10/08/2020","Germany","436"
"31789","11/08/2020","Germany","966"
"31790","12/08/2020","Germany","1226"
"31791","13/08/2020","Germany","1445"
"31792","14/08/2020","Germany","1449"
"31793","15/08/2020","Germany","1415"
"31794","16/08/2020","Germany","625"
"31795","17/08/2020","Germany","561"
"31796","18/08/2020","Germany","1390"
"31797","19/08/2020","Germany","1510"
"31798","20/08/2020","Germany","1707"
"31799","21/08/2020","Germany","1427"
"31800","22/08/2020","Germany","2034"
"31801","23/08/2020","Germany","782"
"31802","24/08/2020","Germany","711"
"31803","25/08/2020","Germany","1278"
"31804","26/08/2020","Germany","1576"
"31805","27/08/2020","Germany","1507"
"31806","28/08/2020","Germany","1571"
"31807","29/08/2020","Germany","1479"
"31808","30/08/2020","Germany","785"
"31809","31/08/2020","Germany","610"
"31810","01/09/2020","Germany","1218"
"31811","02/09/2020","Germany","1256"
"31812","03/09/2020","Germany","1311"
"31813","04/09/2020","Germany","1453"
"31814","05/09/2020","Germany","1378"
"31815","06/09/2020","Germany","988"
"31816","07/09/2020","Germany","814"
"31817","08/09/2020","Germany","1499"
"31818","09/09/2020","Germany","1176"
"31819","10/09/2020","Germany","1892"
"31820","11/09/2020","Germany","1484"
"31821","12/09/2020","Germany","1630"
"31822","13/09/2020","Germany","948"
"31823","14/09/2020","Germany","927"
"31824","15/09/2020","Germany","1407"
"31825","16/09/2020","Germany","1901"
"31826","17/09/2020","Germany","2194"
"31827","18/09/2020","Germany","1916"
"31828","19/09/2020","Germany","2297"
"31829","20/09/2020","Germany","1345"
"31830","21/09/2020","Germany","922"
"31831","22/09/2020","Germany","1821"
"31832","23/09/2020","Germany","1769"
"31833","24/09/2020","Germany","2143"
"31834","25/09/2020","Germany","2153"
"31835","26/09/2020","Germany","2507"
"31836","27/09/2020","Germany","1410"
"31837","28/09/2020","Germany","1192"
"31838","29/09/2020","Germany","2089"
"31839","30/09/2020","Germany","1798"
"31840","01/10/2020","Germany","2503"
"31841","02/10/2020","Germany","2673"
"31842","03/10/2020","Germany","2563"
"31843","04/10/2020","Germany","2279"
"31844","05/10/2020","Germany","1382"
"31845","06/10/2020","Germany","2639"
"31846","07/10/2020","Germany","2828"
"31847","08/10/2020","Germany","4058"
"31848","09/10/2020","Germany","4516"
"31849","10/10/2020","Germany","4721"
"31850","11/10/2020","Germany","3483"
"31851","12/10/2020","Germany","2467"
"31852","13/10/2020","Germany","4122"
"31853","14/10/2020","Germany","5132"
"31854","15/10/2020","Germany","6638"
"31855","16/10/2020","Germany","7334"
"31856","17/10/2020","Germany","7830"
"31857","18/10/2020","Germany","5587"
"31858","19/10/2020","Germany","4325"
"31859","20/10/2020","Germany","6868"
"31860","21/10/2020","Germany","7595"
"31861","22/10/2020","Germany","11287"
"31862","23/10/2020","Germany","11242"
"31863","24/10/2020","Germany","14714"
"31864","25/10/2020","Germany","11176"
"31865","26/10/2020","Germany","8685"
"31866","27/10/2020","Germany","11409"
"31867","28/10/2020","Germany","14964"
"31868","29/10/2020","Germany","16774"
"31869","30/10/2020","Germany","18681"
"31870","31/10/2020","Germany","19059"
"31871","01/11/2020","Germany","14177"
"31872","02/11/2020","Germany","12097"
"31873","03/11/2020","Germany","15352"
"31874","04/11/2020","Germany","17214"
