GENESIS-Tabelle: 12411-0001;
Bevölkerung: Deutschland, Stichtag;
Fortschreibung des Bevölkerungsstandes;
Deutschland;
;Bevölkerungsstand
;Anzahl
31.12.2019;83166711
__________;
"Bis 1989: Früheres Bundesgebiet

Ab 2011: Ergebnisse auf Grundlage des Zensus 2011.";
© Statistisches Bundesamt (Destatis), 2021;
Stand: 14.01.2021 / 12:41:49;
